uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
94FBD08DB38A46BF8C219E3A333019AC,Unknown,2017-03-30,"",Children_Assim_french_training_4,1127,1,2017-03-30T08:54:40.000Z,2017-03-30T08:56:53.000Z,1,2017-03-30T08:54:40.210Z,0,1,pretraining,countryside,1,2,F_pretraining_balle,,F3_pretraining_moutte,,,,,,3407,F_pretraining_balle,CENTER_RIGHT,F_pretraining_balle,CENTER_RIGHT,1857,touch_object,1,0
94FBD08DB38A46BF8C219E3A333019AC,Unknown,2017-03-30,"",Children_Assim_french_training_4,1127,1,2017-03-30T08:54:40.000Z,2017-03-30T08:56:53.000Z,2,2017-03-30T08:54:53.393Z,0,1,pretraining,countryside,2,2,F_pretraining_coeur,,F3_pretraining_kime,,,,,,2497,F3_pretraining_kime,CENTER_RIGHT,F3_pretraining_kime,CENTER_RIGHT,1780,touch_object,1,0
94FBD08DB38A46BF8C219E3A333019AC,Unknown,2017-03-30,"",Children_Assim_french_training_4,1127,1,2017-03-30T08:54:40.000Z,2017-03-30T08:56:53.000Z,3,2017-03-30T08:55:05.625Z,0,1,pretraining,countryside,3,2,F_pretraining_poule,,F3_pretraining_pouque,,,,,,1084,F3_pretraining_pouque,CENTER_LEFT,F3_pretraining_pouque,CENTER_LEFT,1908,touch_object,1,0
94FBD08DB38A46BF8C219E3A333019AC,Unknown,2017-03-30,"",Children_Assim_french_training_4,1127,1,2017-03-30T08:54:40.000Z,2017-03-30T08:56:53.000Z,4,2017-03-30T08:55:23.215Z,1,2,training1,countryside,1,2,F_training_place_tete,,F3_training_place_tepe,,,,,,2033,F3_training_place_tepe,CENTER_RIGHT,F_training_place_tete,CENTER_LEFT,1315,touch_object,0,0
94FBD08DB38A46BF8C219E3A333019AC,Unknown,2017-03-30,"",Children_Assim_french_training_4,1127,1,2017-03-30T08:54:40.000Z,2017-03-30T08:56:53.000Z,5,2017-03-30T08:55:34.444Z,0,2,training1,countryside,1,2,F_training_place_tete,,F3_training_place_tepe,,,,,,3685,F3_training_place_tepe,CENTER_RIGHT,F3_training_place_tepe,CENTER_RIGHT,2865,touch_object,1,0
94FBD08DB38A46BF8C219E3A333019AC,Unknown,2017-03-30,"",Children_Assim_french_training_4,1127,1,2017-03-30T08:54:40.000Z,2017-03-30T08:56:53.000Z,6,2017-03-30T08:55:48.928Z,0,2,training1,countryside,2,2,F_training_voicing_bouche,,F3_training_voicing_bouge,,,,,,1323,F_training_voicing_bouche,CENTER_LEFT,F_training_voicing_bouche,CENTER_LEFT,6796,touch_object,1,0
94FBD08DB38A46BF8C219E3A333019AC,Unknown,2017-03-30,"",Children_Assim_french_training_4,1127,1,2017-03-30T08:54:40.000Z,2017-03-30T08:56:53.000Z,7,2017-03-30T08:56:04.946Z,0,2,training1,countryside,3,2,F_training_voicing_sac,,F3_training_voicing_sague,,,,,,2904,F3_training_voicing_sague,CENTER_LEFT,F3_training_voicing_sague,CENTER_LEFT,2125,touch_object,1,0
94FBD08DB38A46BF8C219E3A333019AC,Unknown,2017-03-30,"",Children_Assim_french_training_4,1127,1,2017-03-30T08:54:40.000Z,2017-03-30T08:56:53.000Z,8,2017-03-30T08:56:19.616Z,0,3,training2,countryside,1,2,F_training_voicing_glace,,F3_training_voicing_glaze,,,,,,1435,F_training_voicing_glace,CENTER_RIGHT,F_training_voicing_glace,CENTER_RIGHT,1320,touch_object,1,0
94FBD08DB38A46BF8C219E3A333019AC,Unknown,2017-03-30,"",Children_Assim_french_training_4,1127,1,2017-03-30T08:54:40.000Z,2017-03-30T08:56:53.000Z,9,2017-03-30T08:56:30.280Z,0,3,training2,countryside,2,2,F_training_voicing_lampe,,F3_training_voicing_lambe,,,,,,1016,F3_training_voicing_lambe,CENTER_RIGHT,F3_training_voicing_lambe,CENTER_RIGHT,1708,touch_object,1,0
94FBD08DB38A46BF8C219E3A333019AC,Unknown,2017-03-30,"",Children_Assim_french_training_4,1127,1,2017-03-30T08:54:40.000Z,2017-03-30T08:56:53.000Z,10,2017-03-30T08:56:40.932Z,0,3,training2,countryside,3,2,F_training_place_plante,,F3_training_place_plampe,,,,,,1053,F_training_place_plante,CENTER_LEFT,F_training_place_plante,CENTER_LEFT,1756,touch_object,1,0
